43,3,292,161,164,346,199,97,225,234,229,16,340,67,216,309,110,222,223,279,269,150,145,388,275,255,113,224,82,156,321,270,375,277,17,72,403,152,85,221,114,322,303,231,391,96,305,290,308,295,228,266,274,261,262,254,370,246,345,282,195,181,362,193,201,141,77,276,245,170,358,194,86,284,264,251,168,272,398,278,267,49,41,24,9,103,23,101,52,57,65,130,129,122,389,258,304,54,50,352,27,121,119,117,120,126,112,116,95,59,90,88,79,108,15,11,53,48,7,69,93,22,14,84,61,56,64
1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,0,28,26,27,48,20,12,26,28,26,1,35,4,22,34,16,22,22,34,30,10,20,62,34,24,12,26,10,24,28,34,62,34,2,6,57,10,10,22,18,46,30,26,62,10,34,38,43,39,26,34,34,26,30,34,54,32,36,36,18,32,54,18,20,18,8,34,30,32,54,18,10,36,30,22,18,34,66,36,30,2,2,1,0,3,2,3,2,2,4,6,6,6,62,25,30,2,2,50,2,5,5,5,6,6,5,7,3,1,2,2,2,1,0,0,2,1,1,3,3,1,1,1,1,1,0
1,0,12,3,3,12,8,4,9,11,9,1,14,1,10,13,7,9,9,13,13,4,8,15,13,11,5,10,4,8,11,14,15,13,1,2,21,4,4,9,7,17,13,9,15,4,13,15,12,11,9,14,13,11,14,14,11,12,15,14,8,7,15,8,8,8,3,13,14,3,12,8,4,15,14,9,7,14,17,15,13,1,1,1,0,2,1,2,1,1,2,5,4,4,15,11,13,1,1,12,2,2,2,2,3,3,2,2,2,1,1,1,1,1,0,0,1,1,1,2,2,1,1,1,1,1,3
5,1,25,14,15,34,17,11,17,19,19,2,31,5,21,29,13,22,21,27,25,14,17,45,25,19,9,21,5,20,28,25,32,25,1,5,43,16,6,21,13,44,31,21,48,14,25,30,28,24,18,21,24,21,25,38,47,21,32,27,17,18,35,15,19,17,5,24,23,14,34,16,7,27,27,21,13,27,45,27,25,5,3,2,1,6,1,4,3,5,3,4,7,3,46,20,32,5,1,36,1,11,9,7,6,12,5,5,5,3,5,3,5,3,1,1,1,1,1,1,3,1,1,1,3,1,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,29,26,27,48,21,13,27,29,27,2,36,5,23,35,17,23,23,35,31,11,21,62,35,25,13,27,11,25,29,35,62,35,3,7,58,11,11,23,19,47,31,27,62,11,35,39,43,39,27,35,35,27,31,35,54,33,37,37,19,32,54,19,21,19,9,35,31,32,54,19,11,37,31,23,19,35,66,37,31,3,3,2,1,4,3,4,3,3,5,7,7,7,62,26,31,3,3,50,3,6,6,6,7,7,6,8,3,2,3,3,3,2,1,1,3,2,2,3,3,1,1,2,2,2,0
1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Null,1,Null,1,1,0,Null,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Null,0
2,0,28,26,26,48,20,12,26,28,26,1,35,4,22,34,16,22,22,34,30,10,20,62,34,24,12,26,10,24,28,34,62,34,2,6,57,10,10,22,12,46,30,26,62,12,34,38,43,39,26,34,34,26,30,34,54,32,36,36,18,32,54,18,20,18,8,34,30,32,54,18,10,36,30,22,18,34,66,36,30,2,2,1,0,3,2,3,2,2,4,6,6,6,Null,25,Null,2,2,50,Null,5,5,5,6,6,5,7,3,1,2,2,2,1,0,0,2,1,1,3,3,1,1,1,1,Null,0
1,0,12,3,6,12,8,4,9,11,9,1,14,1,10,13,7,9,9,13,13,4,8,15,13,11,5,10,4,8,11,14,15,13,1,2,21,4,4,9,5,17,13,9,15,4,13,15,12,11,9,14,13,11,14,14,11,12,15,14,8,7,15,8,8,8,3,13,14,3,12,8,4,15,14,9,7,14,17,15,13,1,1,1,0,2,1,2,1,1,2,5,4,4,Null,11,Null,1,1,12,Null,2,2,2,3,3,2,2,2,1,1,1,1,1,0,0,1,1,1,2,2,1,1,1,1,Null,3
